,Recency,T,Frequency,Monetary,expctd_num_of_purch,conditional_probability_alive,expct_avg_spend,cltv_half_year,Period
266956,170,654,2,3214.445,0.17048904157865136,0.21684856793873128,3700.89795294033,609.9227661478034,2014-12-02
266957,273,664,3,6540.495,0.27313048431438053,0.31025288590381217,7167.635343148577,1892.4170019382484,2014-12-02
266958,948,1323,3,3716.4833333333336,0.32358053297103323,0.5004384490589665,4073.318240523474,1273.8291589248436,2014-12-02
266959,247,778,3,2605.221666666667,0.1433688106297708,0.1730404807735453,2855.690133229886,395.7458636771572,2014-12-02
266960,610,1348,4,2136.79375,0.08302643446690297,0.11664585480954028,2287.413561931497,183.54387364071724,2014-12-02
266964,339,914,2,3159.195,0.13866567947460048,0.20167706268853536,3637.31670037835,487.5042997618122,2014-12-02
266966,1268,1360,7,3968.2128571428575,0.7493821447039776,0.8125483383909925,4123.0021724224325,2986.04480807825,2014-12-02
266972,687,1047,4,3280.1925,0.36043274173458956,0.44559595859355905,3510.9759352201927,1223.1073515979565,2014-12-02
266974,685,991,3,2183.48,0.3890963378592968,0.5212700779254341,2393.580692443954,900.1690418964245,2014-12-02
266975,1015,1332,4,7085.8125,0.4015843750705718,0.5605957867745932,7583.407743489113,2943.2124300138307,2014-12-02
266976,313,820,2,539.24,0.17528506383367423,0.2433722959133167,622.2937038892536,105.43452485629855,2014-12-02
266978,318,713,2,410.5075,0.26455749281226065,0.3474524641884549,474.1493854198399,121.25389762952055,2014-12-02
266980,0,418,1,4836.585,0.1944149302901116,0.24604062113556652,6558.326772164762,1232.6607970803093,2014-12-02
266982,0,801,1,116.025,0.038070327209349435,0.05989428615912133,161.3291116780378,5.936675556952256,2014-12-02
266986,780,1338,5,1894.854,0.18775080664422947,0.23870145082674107,2000.30136178066,362.9591385587619,2014-12-02
266987,978,1299,5,4942.665,0.4317340589457329,0.5403258591673438,5216.694000764553,2176.6875835931105,2014-12-02
266989,0,376,1,404.43,0.23220010433889549,0.28602289434956196,552.1569181824935,123.95290487584647,2014-12-02
266990,641,1194,2,2011.6525,0.1804125620097057,0.29784681751893877,2316.734084666023,403.9577565334763,2014-12-02
266991,0,804,1,1034.28,0.03760718392266728,0.05925627720388,1405.688909399121,51.09795443132207,2014-12-02
266992,632,1294,5,1742.8059999999998,0.10499947452498766,0.13114224248287534,1839.8432270826017,186.70368239442755,2014-12-02
266993,235,542,2,3643.185,0.35360573393746425,0.42195813695910894,4194.288472821296,1433.7437017660372,2014-12-02
266997,860,1319,3,4277.823333333333,0.2613114464701362,0.4034839644158922,4688.387924154706,1184.0303389457847,2014-12-02
266998,286,1159,4,2222.7075,0.02492237039094118,0.032374987731291584,2379.3507202046994,57.312152679274604,2014-12-02
