cust_id,RFM_Level_Dec_2014,RFM_Level_May_2014,RFM_Level_Dec_2013
267677,Top,Top,Top
267680,Middle,Middle,Middle
267681,Top,Top,Top
267682,Top,Top,Top
267683,Top,Top,Middle
267687,Middle,Top,Top
267688,Top,Top,Top
267690,Low,Low,Middle
267691,Low,Low,Middle
267693,Middle,Middle,Middle
267696,Low,Low,Middle
267697,Middle,Middle,Middle
267698,Middle,Middle,Top
267699,Top,Top,Top
267700,Top,Top,Top
267701,Middle,Middle,Low
267702,Top,Top,Middle
267704,Top,Top,Middle
267706,Top,Top,Top
267707,Low,Low,Middle
267711,Top,Top,Top
267712,Middle,Middle,Middle
267713,Middle,Middle,Middle
267714,Low,Middle,Middle
267715,Low,Low,Low
267716,Top,Top,Top
267718,Top,Top,Top
267719,Middle,Middle,Middle
267720,Top,Top,Middle
267721,Top,Top,Middle
267724,Top,Top,Top
267726,Middle,Middle,Middle
267727,Top,Top,Top
267732,Middle,Middle,Middle
267734,Top,Top,Top
267737,Top,Top,Middle
267738,Top,Top,Top
267739,Top,Top,Top
267740,Middle,Middle,Middle
267742,Top,Top,Top
267743,Top,Top,Top
267745,Top,Top,Middle
267747,Top,Top,Top
267748,Top,Top,Top
267749,Top,Top,Top
267750,Top,Middle,Top
267752,Middle,Middle,Middle
267753,Top,Top,Top
267754,Top,Middle,Middle
267756,Middle,Middle,Middle
267757,Top,Top,Top
267759,Top,Top,Top
267760,Middle,Middle,Middle
267763,Middle,Middle,Low
267764,Middle,Middle,Top
267768,Top,Top,Top
267769,Top,Top,Middle
267771,Top,Top,Middle
267772,Top,Top,Top
267774,Middle,Middle,Middle
267775,Top,Top,Top
267776,Top,Top,Top
267778,Top,Top,Top
267780,Low,Low,Low
267781,Top,Middle,Middle
267782,Top,Top,Top
267783,Middle,Middle,Top
267784,Top,Top,Top
267785,Middle,Middle,Middle
267786,Top,Top,Top
267792,Top,Top,Top
267793,Top,Top,Top
267794,Top,Top,Top
267795,Top,Top,Middle
267797,Top,Top,Top
267798,Middle,Middle,Middle
267801,Top,Top,Top
267802,Top,Top,Top
267803,Top,Top,Top
267804,Middle,Middle,Middle
267805,Top,Top,Top
267806,Top,Middle,Top
267807,Top,Top,Middle
267808,Middle,Middle,Middle
267809,Middle,Middle,Middle
267811,Top,Top,Middle
267812,Low,Low,Low
267813,Top,Top,Top
267814,Low,Low,Low
267815,Top,Top,Top
267817,Middle,Top,Top
267818,Middle,Middle,Middle
267819,Low,Low,Middle
267825,Top,Top,Middle
267826,Top,Top,Top
267827,Top,Top,Top
267828,Top,Top,Middle
267830,Top,Top,Top
267831,Middle,Middle,Middle
267832,Top,Top,Top
267833,Top,Top,Top
267835,Top,Top,Top
267836,Top,Top,Top
267838,Middle,Middle,Middle
267840,Top,Top,Top
267842,Top,Top,Top
267844,Top,Top,Middle
267846,Top,Top,Top
267849,Top,Top,Top
267851,Middle,Top,Top
267852,Top,Top,Top
267853,Middle,Middle,Middle
267854,Middle,Middle,Middle
267856,Low,Low,Low
267858,Top,Top,Top
267859,Middle,Middle,Middle
267860,Top,Top,Top
267862,Top,Top,Top
267863,Top,Top,Top
267864,Top,Top,Middle
267866,Middle,Middle,Middle
267867,Top,Top,Top
267874,Top,Top,Middle
267875,Middle,Middle,Middle
267876,Top,Top,Top
267877,Top,Top,Top
267878,Middle,Middle,Low
267880,Top,Top,Middle
267881,Top,Top,Top
267883,Middle,Middle,Top
267886,Top,Top,Top
267887,Middle,Middle,Middle
267888,Middle,Middle,Middle
267889,Middle,Middle,Middle
267890,Top,Top,Top
267891,Middle,Middle,Top
267892,Middle,Middle,Middle
267894,Top,Top,Top
267895,Low,Low,Low
267897,Middle,Middle,Middle
267898,Top,Middle,Top
267901,Middle,Middle,Low
267902,Middle,Middle,Middle
267903,Top,Top,Top
267904,Top,Top,Top
267905,Top,Top,Top
267906,Top,Top,Top
267907,Low,Low,Low
267910,Top,Top,Top
267912,Top,Top,Top
267913,Middle,Middle,Top
267914,Middle,Middle,Top
267915,Top,Top,Top
267918,Middle,Middle,Middle
267920,Middle,Middle,Middle
267924,Middle,Middle,Top
267925,Top,Top,Middle
267926,Top,Top,Top
267929,Top,Top,Middle
267930,Top,Top,Middle
267931,Top,Top,Top
267933,Top,Top,Top
267934,Middle,Middle,Middle
267935,Middle,Middle,Middle
267938,Top,Middle,Middle
267939,Low,Low,Low
267940,Middle,Middle,Middle
267942,Middle,Middle,Middle
267943,Middle,Middle,Middle
267948,Middle,Middle,Middle
267950,Top,Top,Top
267951,Middle,Middle,Middle
267952,Top,Top,Top
267955,Middle,Middle,Middle
267959,Top,Top,Middle
267960,Middle,Middle,Middle
267962,Middle,Middle,Middle
267965,Top,Top,Top
267968,Middle,Middle,Middle
267970,Top,Top,Top
267971,Top,Top,Top
267972,Middle,Middle,Middle
267974,Top,Top,Top
267975,Top,Top,Middle
267976,Top,Top,Top
267977,Top,Top,Top
267978,Middle,Middle,Low
267979,Top,Top,Top
267980,Top,Top,Top
267983,Top,Top,Top
267985,Top,Top,Top
267987,Top,Top,Top
267989,Top,Top,Top
267990,Middle,Middle,Middle
267991,Top,Top,Middle
267995,Top,Middle,Middle
267996,Top,Top,Top
267998,Middle,Middle,Middle
267999,Top,Top,Top
268000,Middle,Top,Top
268001,Middle,Low,Low
268002,Middle,Middle,Middle
268003,Top,Top,Top
